park,site,pebble_number,intermediate_axis,embeddedness
GM,LOM,35,5,
GM,LOM,36,5,
GM,LOM,37,6,
GM,LOM,38,6,
GM,LOM,39,7,
GM,LOM,40,16,50
GM,LOM,41,9,
GM,LOM,42,14,
GM,LOM,43,12,
GM,LOM,44,3,
GM,LOM,45,4,
GM,LOM,46,4,
GM,LOM,47,7,
GM,LOM,48,5,
GM,LOM,49,8,
GM,LOM,50,4,75
GM,LOM,51,7,
GM,LOM,52,5,
GM,LOM,53,6,
GM,LOM,54,5,
GM,LOM,55,5,
GM,LOM,56,6,
GM,LOM,57,4,
GM,LOM,58,8,
GM,LOM,59,5,
GM,LOM,60,4,50
GM,LOM,61,6,
GM,LOM,62,6,
GM,LOM,63,6,
GM,LOM,64,9,
GM,LOM,65,7,
GM,LOM,66,7,
GM,LOM,67,3,
GM,LOM,68,6,
GM,LOM,69,5,
GM,LOM,70,5,0
GM,LOM,71,8,
GM,LOM,72,6,
GM,LOM,73,6,
GM,LOM,74,8,
GM,LOM,75,6,
GM,LOM,76,7,
GM,LOM,77,9,
GM,LOM,78,6,
GM,LOM,79,6,
GM,LOM,80,7,25
GM,LOM,81,6,
GM,LOM,82,3,
GM,LOM,83,4,
GM,LOM,84,3,
GM,LOM,85,4,
GM,LOM,86,16,
GM,LOM,87,4,
GM,LOM,88,7,
GM,LOM,89,3,
GM,LOM,90,4,25
GM,LOM,91,14,
GM,LOM,92,9,
GM,LOM,93,6,
GM,LOM,94,8,
GM,LOM,95,7,
GM,LOM,96,5,
GM,LOM,97,6,
GM,LOM,98,9,
GM,LOM,99,7,
GM,LOM,100,4,25
GM,MAS,1,11,
GM,MAS,2,14,
GM,MAS,3,6,
GM,MAS,4,5,
GM,MAS,5,8,
GM,MAS,6,2,
GM,MAS,7,6,
GM,MAS,8,4,
GM,MAS,9,5,
GM,MAS,10,6,50
GM,MAS,11,3,
GM,MAS,12,5,
GM,MAS,13,5,
GM,MAS,14,2,
GM,MAS,15,4,
GM,MAS,16,5,
GM,MAS,17,2,
GM,MAS,18,5,
GM,MAS,19,5,
GM,MAS,20,5,25
GM,MAS,21,5,
GM,MAS,22,4,
GM,MAS,23,5,
GM,MAS,24,7,
GM,MAS,25,11,
GM,MAS,26,5,
GM,MAS,27,3,
GM,MAS,28,4,
GM,MAS,29,5,
GM,MAS,30,3,25
GM,MAS,31,5,
GM,MAS,32,6,
GM,MAS,33,4,
GM,MAS,34,9,
GM,MAS,35,12,
GM,MAS,36,11,
GM,MAS,37,12,
GM,MAS,38,9,
GM,MAS,39,11,
GM,MAS,40,2,25
GM,MAS,41,5,
GM,MAS,42,3,
GM,MAS,43,8,
GM,MAS,44,13,
GM,MAS,45,3,
GM,MAS,46,7,
GM,MAS,47,5,
GM,MAS,48,2,
GM,MAS,49,4,
GM,MAS,50,7,50
GM,HOR,1,7,
GM,HOR,2,8,
GM,HOR,3,10,
GM,HOR,4,14,
GM,HOR,5,12,
GM,HOR,6,7,
GM,HOR,7,6,
GM,HOR,8,6,
GM,HOR,9,13,
GM,HOR,10,6,50
GM,HOR,11,10,
GM,HOR,12,10,
GM,HOR,13,10,
GM,HOR,14,9,
GM,HOR,15,12,
GM,HOR,16,10,
GM,HOR,17,8,
GM,HOR,18,7,
GM,HOR,19,11,
GM,HOR,20,8,25
GM,HOR,21,4,
GM,HOR,22,6,
GM,HOR,23,7,
GM,HOR,24,5,
GM,HOR,25,6,
GM,HOR,26,5,
GM,HOR,27,4,
GM,HOR,28,7,
GM,HOR,29,7,
GM,HOR,30,3,25
GM,HOR,31,4,
GM,HOR,32,7,
GM,HOR,33,6,
GM,HOR,34,3,
GM,HOR,35,5,
GM,HOR,36,5,
GM,HOR,37,3,
GM,HOR,38,2,
GM,HOR,39,3,
GM,HOR,40,5,0
GM,HOR,41,6,
GM,HOR,42,5,
GM,HOR,43,6,
GM,HOR,44,7,
GM,HOR,45,6,
GM,HOR,46,7,
GM,HOR,47,6,
GM,HOR,48,7,
GM,HOR,49,7,
GM,HOR,50,6,25
GM,HOR,51,7,
GM,HOR,52,7,
GM,HOR,53,7,
GM,HOR,54,8,
GM,HOR,55,9,
GM,HOR,56,7,
GM,HOR,57,6,
GM,HOR,58,6,
GM,HOR,59,5,
GM,HOR,60,11,50
GM,HOR,61,6,
GM,HOR,62,8,
GM,HOR,63,7,
GM,HOR,64,12,
GM,HOR,65,6,
GM,HOR,66,7,
GM,HOR,67,4,
GM,HOR,68,6,
GM,HOR,69,11,
GM,HOR,70,5,25
GM,HOR,71,6,
GM,HOR,72,10,
GM,HOR,73,8,
GM,HOR,74,7,
GM,HOR,75,11,
GM,HOR,76,9,
GM,HOR,77,14,
GM,HOR,78,6,
GM,HOR,79,9,
GM,HOR,80,14,75
GM,HOR,81,9,
GM,HOR,82,6,
GM,HOR,83,5,
GM,HOR,84,8,
GM,HOR,85,8,
GM,HOR,86,7,
GM,HOR,87,9,
GM,HOR,88,7,
GM,HOR,89,10,
GM,HOR,90,4,0
GM,HOR,91,5,
GM,HOR,92,6,
GM,HOR,93,13,
GM,HOR,94,6,
GM,HOR,95,7,
GM,HOR,96,9,
GM,HOR,97,9,
GM,HOR,98,4,
GM,HOR,99,4,
GM,HOR,100,5,0
GM,BER,1,8,
GM,BER,2,15,
GM,BER,3,10,
GM,BER,4,13,
GM,BER,5,3,
GM,BER,6,8,
GM,BER,7,5,
GM,BER,8,5,
GM,BER,9,4,
GM,BER,10,6,50
GM,BER,11,8,
GM,BER,12,6,
GM,BER,13,9,
GM,BER,14,4,
GM,BER,15,4,
GM,BER,16,4,
GM,BER,17,9,
GM,BER,18,12,
GM,BER,19,9,
GM,BER,20,10,75
GM,BER,21,10,
GM,BER,22,5,
GM,BER,23,7,
GM,BER,24,9,
GM,BER,25,2,
GM,BER,26,2,
GM,BER,27,7,
GM,BER,28,12,
GM,BER,29,4,
GM,BER,30,1,0
GM,BER,31,5,
GM,BER,32,7,
GM,BER,33,13,
GM,BER,34,15,
GM,BER,35,16,
GM,BER,36,2,
GM,BER,37,10,
GM,BER,38,11,
GM,BER,39,5,
GM,BER,40,6,25
GM,BER,41,12,
GM,BER,42,8,
GM,BER,43,5,
GM,BER,44,13,
GM,BER,45,4,
GM,BER,46,3,
GM,BER,47,2,
GM,BER,48,5,
GM,BER,49,4,
GM,BER,50,7,75
GM,BER,51,4,
GM,BER,52,4,
GM,BER,53,5,
GM,BER,54,3,
GM,BER,55,4,
GM,BER,56,5,
GM,BER,57,9,
GM,BER,58,13,
GM,BER,59,6,
GM,BER,60,3,25
GM,BER,61,5,
GM,BER,62,7,
GM,BER,63,4,
GM,BER,64,3,
GM,BER,65,10,
GM,BER,66,4,
GM,BER,67,7,
GM,BER,68,5,
GM,BER,69,8,
GM,BER,70,8,75
GM,WAT,1,11,
GM,WAT,2,3,
GM,WAT,3,3,
GM,WAT,4,3,
GM,WAT,5,3,
GM,WAT,6,4,
GM,WAT,7,6,
GM,WAT,8,6,
GM,WAT,9,7,
GM,WAT,10,14,50
GM,WAT,11,6,
GM,WAT,12,2,
GM,WAT,13,7,
GM,WAT,14,3,
GM,WAT,15,3,
GM,WAT,16,10,
GM,WAT,17,7,
GM,WAT,18,9,
GM,WAT,19,8,
GM,WAT,20,5,0
GM,WAT,21,3,
GM,WAT,22,7,
GM,WAT,23,3,
GM,WAT,24,3,
GM,WAT,25,6,
GM,WAT,26,11,
GM,WAT,27,2,
GM,WAT,28,9,
GM,WAT,29,5,
GM,WAT,30,7,25
GM,WAT,31,7,
GM,WAT,32,4,
GM,WAT,33,3,
GM,WAT,34,11,
GM,WAT,35,7,
GM,WAT,36,4,
GM,WAT,37,1,
GM,WAT,38,3,
GM,WAT,39,4,
GM,WAT,40,9,25
GM,WAT,41,2,
GM,WAT,42,2,
GM,WAT,43,5,
GM,WAT,44,4,
GM,WAT,45,9,
GM,WAT,46,3,
GM,WAT,47,4,
GM,WAT,48,4,
GM,WAT,49,5,
GM,WAT,50,4,0
GM,WAT,51,4,
GM,WAT,52,3,
GM,WAT,53,9,
GM,WAT,54,14,
GM,WAT,55,8,
GM,WAT,56,6,
GM,WAT,57,4,
GM,WAT,58,18,
GM,WAT,59,7,
GM,WAT,60,7,0
GM,WAT,61,15,
GM,WAT,62,11,
GM,WAT,63,14,
GM,WAT,64,3,
GM,WAT,65,4,
GM,WAT,66,4,
GM,WAT,67,18,
GM,WAT,68,5,
GM,WAT,69,9,
GM,WAT,70,18,75
GM,WAT,71,7,
GM,WAT,72,16,
GM,WAT,73,4,
GM,WAT,74,4,
GM,WAT,75,3,
GM,WAT,76,7,
GM,WAT,77,8,
GM,WAT,78,4,
GM,WAT,79,12,
GM,WAT,80,8,0
GM,WAT,81,7,
GM,WAT,82,7,
GM,WAT,83,6,
GM,WAT,84,18,
GM,WAT,85,4,
GM,WAT,86,8,
GM,WAT,87,8,
GM,WAT,88,6,
GM,WAT,89,4,
GM,WAT,90,6,50
GM,WAT,91,11,
GM,WAT,92,6,
GM,WAT,93,4,
GM,WAT,94,5,
GM,WAT,95,6,
GM,WAT,96,4,
GM,WAT,97,7,
GM,WAT,98,6,
GM,WAT,99,7,
GM,WAT,100,7,50
GM,CCR,1,5,
GM,CCR,2,8,
GM,CCR,3,7,
GM,CCR,4,8,
GM,CCR,5,9,
GM,CCR,6,6,
GM,CCR,7,11,
GM,CCR,8,4,
GM,CCR,9,11,
GM,CCR,10,5,0
GM,CCR,11,6,
GM,CCR,12,9,
GM,CCR,13,7,
GM,CCR,14,5,
GM,CCR,15,8,
GM,CCR,16,6,
GM,CCR,17,6,
GM,CCR,18,7,
GM,CCR,19,7,
GM,CCR,20,6,0
GM,CCR,21,12,
GM,CCR,22,8,
GM,CCR,23,7,
GM,CCR,24,6,
GM,CCR,25,5,
GM,CCR,26,13,
GM,CCR,27,9,
GM,CCR,28,4,
GM,CCR,29,7,
GM,CCR,30,5,50
GM,CCR,31,5,
GM,CCR,32,7,
GM,CCR,33,8,
GM,CCR,34,3,
GM,CCR,35,6,
GM,CCR,36,6,
GM,CCR,37,5,
GM,CCR,38,3,
GM,CCR,39,7,
GM,CCR,40,5,0
GM,CCR,41,7,
