park,site,sample_number,date,injection_number,analysis,area,tn_mgl
GM,HOR,1,2022-09-23 2:02,3,TN,54.2,1.88338431
GM,HOR,2,2022-09-23 2:20,1,TN,63.45,2.209223863
GM,HOR,2,2022-09-23 2:25,2,TN,63.69,2.217678079
GM,HOR,2,2022-09-23 2:30,3,TN,63.96,2.227189071
GM,HOR,3,2022-09-23 2:38,1,TN,59.02,2.053173137
GM,HOR,3,2022-09-23 2:43,2,TN,58.52,2.035560188
GM,HOR,3,2022-09-23 2:48,3,TN,58.26,2.026401454
GM,MAS,1,2022-09-23 3:07,3,TN,20.97,0.712827729
GM,MAS,1,2022-09-23 3:12,4,TN,21.36,0.726565829
GM,MAS,1,2022-09-23 3:17,5,TN,21.29,0.724100016
GM,MAS,2,2022-09-23 3:25,1,TN,19.74,0.669499875
GM,MAS,2,2022-09-23 3:30,2,TN,19.56,0.663159213
GM,MAS,2,2022-09-23 3:35,3,TN,20.22,0.686408305
GM,MAS,3,2022-09-23 11:38,3,TN,0.0259,-0.024946995
GM,MAS,3,2022-09-23 11:42,4,TN,0.7064,-0.000975772
GM,MAS,3,2022-09-23 11:45,5,TN,0,-0.025859346
GM,MAS,blank,2022-09-23 11:57,2,TN,14.9,0.49900653
GM,MAS,blank,2022-09-23 12:01,3,TN,14.5,0.484916171
GM,MAS,blank,2022-09-23 12:09,5,TN,14.65,0.490200055
GM,BER,1,2022-09-23 12:18,1,TN,25.87,0.885434628
GM,BER,1,2022-09-23 12:22,2,TN,25.84,0.884377851
GM,BER,1,2022-09-23 12:27,3,TN,26.17,0.896002397
GM,BER,2,2022-09-23 12:35,1,TN,28.8,0.988646508
GM,BER,2,2022-09-23 12:39,2,TN,28.83,0.989703285
GM,BER,2,2022-09-23 12:44,3,TN,28.69,0.984771659
GM,BER,3,2022-09-23 12:52,1,TN,28.36,0.973147113
GM,BER,3,2022-09-23 12:56,2,TN,28.55,0.979840033
GM,BER,3,2022-09-23 13:01,3,TN,28.18,0.966806451
GM,CCR,1,2022-09-23 13:18,2,TN,12.67,0.420452778
GM,CCR,1,2022-09-23 13:22,3,TN,12.31,0.407771455
GM,CCR,1,2022-09-23 13:27,4,TN,12.6,0.417986965
GM,CCR,2,2022-09-23 13:44,3,TN,15.57,0.522607881
GM,CCR,2,2022-09-23 13:48,4,TN,16.06,0.539868571
GM,CCR,2,2022-09-23 13:53,5,TN,15.89,0.533880168
GM,CCR,3,2022-09-23 14:00,1,TN,14.38,0.480689063
GM,CCR,3,2022-09-23 14:05,2,TN,14.51,0.48526843
GM,CCR,3,2022-09-23 14:09,3,TN,14.31,0.47822325
GM,WAT,1,2022-09-23 14:17,1,TN,14.77,0.494427163
GM,WAT,1,2022-09-23 14:26,3,TN,14.86,0.497597494
GM,WAT,1,2022-09-23 14:30,4,TN,14.45,0.483154876
GM,WAT,2,2022-09-23 14:42,2,TN,12.9,0.428554734
GM,WAT,2,2022-09-23 14:47,3,TN,12.82,0.425736662
GM,WAT,2,2022-09-23 14:55,5,TN,12.8,0.425032144
GM,WAT,3,2022-09-23 15:02,1,TN,12.57,0.416930188
GM,WAT,3,2022-09-23 15:06,2,TN,12,0.396851426
GM,WAT,3,2022-09-23 15:10,3,TN,12.29,0.407066937
GM,WAT,blank,2022-09-23 16:20,1,TN,5.327,0.161789011
GM,WAT,blank,2022-09-23 16:32,4,TN,5.407,0.164607083
GM,WAT,blank,2022-09-23 16:36,5,TN,5.191,0.156998289
GM,HCT,1,2022-09-23 16:44,1,TN,14.29,0.477518732
GM,HCT,1,2022-09-23 16:49,2,TN,14.2,0.474348401
GM,HCT,1,2022-09-23 16:54,3,TN,14.41,0.48174584
GM,HCT,2,2022-09-23 17:01,1,TN,17.14,0.577912541
GM,HCT,2,2022-09-23 17:11,3,TN,16.67,0.561356369
GM,HCT,2,2022-09-23 17:15,4,TN,16.75,0.56417444
