spatial_extent,model,model_number,predictor,estimate,log_likelihood,delta_aic,aic,adjusted_r2
catchment,embeddedness,5,forest disturbance,0.23 (0.2),1.322669412,5.619375781,13.35466118,0.049145219
catchment,embeddedness,5,road density,-0.14 (0.19),1.322669412,5.619375781,13.35466118,0.049145219
catchment,embeddedness,5,substrate size,0.09 (0.23),1.322669412,5.619375781,13.35466118,0.049145219
catchment,embeddedness,5,% lake,0.35 (0.17),1.322669412,5.619375781,13.35466118,0.049145219
catchment,embeddedness,6,intercept,0.38 (0.17),0.994019942,6.27667472,14.01196012,0.026559881
catchment,embeddedness,6,forest disturbance,0.17 (0.19),0.994019942,6.27667472,14.01196012,0.026559881
catchment,embeddedness,6,human impact,-0.01 (0.19),0.994019942,6.27667472,14.01196012,0.026559881
catchment,embeddedness,6,substrate size,0.11 (0.23),0.994019942,6.27667472,14.01196012,0.026559881
catchment,embeddedness,6,% lake,0.33 (0.17),0.994019942,6.27667472,14.01196012,0.026559881
catchment,embeddedness,7,intercept,0.38 (0.17),1.357909522,9.14889556,16.88418096,0.008423638
catchment,embeddedness,7,forest disturbance,0.25 (0.21),1.357909522,9.14889556,16.88418096,0.008423638
catchment,embeddedness,7,road density,-0.16 (0.22),1.357909522,9.14889556,16.88418096,0.008423638
catchment,embeddedness,7,human impact,0.05 (0.21),1.357909522,9.14889556,16.88418096,0.008423638
catchment,embeddedness,7,substrate size,0.09 (0.24),1.357909522,9.14889556,16.88418096,0.008423638
catchment,embeddedness,7,% lake,0.36 (0.17),1.357909522,9.14889556,16.88418096,0.008423638
catchment,embeddedness,8,intercept,0.53 (0.16),1.080521494,6.103671617,13.83895701,0.032555915
