"extent","model","model_num","k","delta_aicc","log_likelihood","adj_r2","% lake","% wetland","(intercept)","canopy","forest disturbance","human impact","road density","substrate size","wetted width"
"riparian","periphyton biomass","6",6,5.53400340691076,9.82454512398233,0.110824979371582,NA,NA,"-0.01 ( 0.13 )","0.18 ( 0.13 )","-0.11 ( 0.15 )","-0.05 ( 0.13 )",NA,NA,"0.42 ( 0.16 )"
"riparian","periphyton biomass","7",7,9.1331317530733,9.82498095090105,0.0704368711893943,NA,NA,"-0.01 ( 0.13 )","0.18 ( 0.13 )","-0.11 ( 0.18 )","-0.05 ( 0.14 )","0 ( 0.16 )",NA,"0.43 ( 0.17 )"
"riparian","periphyton biomass","8",4,0,9.46111204482901,0.160445002610858,NA,NA,"-0.05 ( 0.11 )","0.18 ( 0.12 )",NA,NA,NA,NA,"0.42 ( 0.16 )"
"riparian","periphyton biomass","9",3,4.1655077560656,6.0087929494049,-0.0330237853861819,NA,NA,"0.22 ( 0.07 )",NA,"-0.06 ( 0.16 )",NA,NA,NA,NA
"riparian","periphyton biomass","10",3,3.88975466970137,6.14666949258702,-0.0229001640955127,NA,NA,"0.22 ( 0.05 )",NA,NA,NA,"-0.08 ( 0.13 )",NA,NA
"riparian","periphyton biomass","11",3,3.90982079048806,6.13663643219368,-0.0236334853391913,NA,NA,"0.22 ( 0.05 )",NA,NA,"-0.08 ( 0.13 )",NA,NA,NA
"riparian","% shredders","null",2,7.13591131831224,-1.20754374230019,0,NA,NA,"0.28 ( 0.05 )",NA,NA,NA,NA,NA,NA
"riparian","% shredders","1",5,1.10954223451957,5.9292771632325,0.324289052046506,NA,NA,"0.75 ( 0.13 )",NA,"-0.21 ( 0.17 )",NA,NA,"-0.6 ( 0.2 )","-0.18 ( 0.16 )"
"riparian","% shredders","2",5,1.7572379257512,5.60542931761669,0.308476329077916,NA,NA,"0.74 ( 0.13 )",NA,NA,NA,"-0.15 ( 0.14 )","-0.64 ( 0.2 )","-0.2 ( 0.16 )"
"riparian","% shredders","3",5,2.9434379344022,5.01232931329119,0.278551015752331,NA,NA,"0.7 ( 0.12 )",NA,NA,"-0.03 ( 0.15 )",NA,"-0.62 ( 0.2 )","-0.19 ( 0.17 )"
"riparian","% shredders","4",6,5.02856128473472,5.60613127448857,0.278446261966297,NA,NA,"0.74 ( 0.13 )",NA,NA,"0.01 ( 0.15 )","-0.15 ( 0.15 )","-0.64 ( 0.21 )","-0.2 ( 0.17 )"
"riparian","% shredders","5",6,4.14520716028909,6.04780833671138,0.300854765840868,NA,NA,"0.77 ( 0.13 )",NA,"-0.17 ( 0.2 )",NA,"-0.07 ( 0.17 )","-0.62 ( 0.2 )","-0.19 ( 0.16 )"
"riparian","% shredders","6",6,4.22061978746351,6.01010202312418,0.298969214263402,NA,NA,"0.77 ( 0.13 )",NA,"-0.22 ( 0.17 )","-0.05 ( 0.14 )",NA,"-0.6 ( 0.2 )","-0.19 ( 0.16 )"
